,rating,price,weight,composition,packed_size,size
Tente à arceaux de camping - Arpenaz 4.1 - 4 Personnes - 1 Chambre,4.13,120.0,10.2,"Tissu principal
100% Polyester
Arceau
100% Fibre de verre
Chambre intérieure
100% Polyester
Tapis de sol
100% Polyéthylène
Sac de transport
100% Polyester","Housse rectangulaire | 60 x 24 x 24 cm | 35 litres | 10,2 kg",Chambre : 240 x 210 cm | Séjour debout : 5 m² avec tapis de sol cuvette
Tente de camping - MH100 - 2 places,4.47,30.0,2.6,"Tissu principal
75% Polyester, 25% Polyéthylène
Arceau
100% Fibre de verre","Dimensions de la housse : 58cm x 16cm x 16cm / 15 L. Poids : 2,6 kg",Chambre 130 X 210 cm. (2 couchages de 65cm) Hauteur max. utile : 107 cm
Tente de camping - 2 SECONDS - 3 places,4.6,100.0,3.562,"Double toit
100% Polyester
Chambre intérieure
100% Polyester
Tapis de sol
100% Polyéthylène
Arceau
100% Fibre de verre
Sac de transport
100% Polyester","Dimension de la housse : Ø77x9 cm / 41,9 L. Poids : 3,6 kg.","Chambre 180 X 210 cm.
Hauteur max. utile : 104 cm."
Tente de camping - 2 SECONDS - 2 places,4.4,65.0,2.9,"Tissu principal
75% Polyester, 25% Polyéthylène
Arceau
100% Fibre de verre","Dimension de la housse : Ø65x7 cm / 23,2 L. Poids : 2,9 kg.","Chambre 120 x 210 cm.
Hauteur max utile : 102 cm .
Surface 3,2 m²."
Séjour à arceaux de camping - Arpenaz Base - 6 Personnes,4.2,120.0,7.95,"Arceau
100% Fibre de verre
Tissu principal
100% Polyester
Tapis de sol
100% Polyéthylène
Piquet
100% Acier
Sac de transport
100% Polyester",Housse cylindrique | 57 x 18 cm | 18 litres | 8 kg,"Hauteur : 2,15 m | Surface au sol : 6,25 m² | Confortable jusqu'à 6 personnes"
Tente de camping - MH100 - 2 places - Fresh & Black,4.51,60.0,3.0,"Arceau
100% Fibre de verre
Chambre intérieure
55% Polyéthylène, 45% Polyester
Double toit
100% Polyester
Sac de transport
100% Polyester",Dimension de la housse : 58cm x 15cm x 14 cm / 12 L. Poids : 3 kg.,Chambre 130 X 210 cm. Hauteur max. utile : 106 cm.
Tente dôme de trekking - 2 places - MT500 Fresh & Black,4.17,150.0,3.1,"Chambre intérieure
80% Polyester, 20% Polyuréthane thermoplastique
Tissu principal
80% Polyester, 20% Polyuréthane thermoplastique
Arceau
100% Aluminium","Poids total 3,1 kg.
Housse de compression 11 litres.
Dimensions 39x17x17 cm","largeur 60 cm par personne.
Hauteur chambre 108 cm.
2 portes 2 absides 4 poches"
Tente de camping - 2 SECONDS - 3 places - Fresh & Black,4.54,120.0,3.9,"Double toit
100% Polyester
Tissu intérieur
100% Polyester
Tapis de sol
100% Polyéthylène
Arceau
100% Fibre de verre
Sac de transport
100% Polyester","Dimension de la housse : Ø77x10 cm / 46,6 L. Poids : 4,2 kg.",Chambre 180 X 210 cm. Hauteur max. utile : 104 cm.
Lot de 2 housses de rangement de trekking - Demi-lune imperméables - 2x7L,4.59,10.0,0.104,"Tissu principal
100% Polyester
Sangle
100% Polypropylène
Enduction
100% Polyuréthane",,
Tente de camping - MH100 - 3 places - Fresh & Black,4.45,75.0,4.1,"Arceau
100% Fibre de verre
Chambre intérieure
55% Polyéthylène, 45% Polyester
Double toit
100% Polyester
Sac de transport
100% Polyester","Dimension de la housse : 60 cm x 20 cm x 18 cm / 21L. Poids : 4,1 kg.",Chambre 195 X 210 cm. Hauteur max. utile : 116 cm
Séjour gonflable de camping - Air Seconds Base Connect Fresh - 6 Personnes,4.03,350.0,13.02,"Double toit
100% Polyester
Arceau
50% Polyuréthane thermoplastique, 30% Polyester, 20% Aluminium
Tapis de sol
100% Polyéthylène
Sac de transport
100% Polyester","Housse rectangulaire | 77 x 29 x 29 cm | 64 litres | 13 kg
Tapis sol détachable","Hauteur max : 2,25 m | Surface au sol : 6,25 m² | Confortable pour 6 personnes"
Tente dôme de trekking - 2 places - MT900 Minimal Editions,4.82,240.0,2.0,"Chambre intérieure
65% Polyamide, 35% Polyester
Tissu principal
80% Polyester, 20% Polyuréthane thermoplastique
Arceau
100% Aluminium","Poids total 1,95 kg
Housse compacte & compressible 5,3 L
Dimensions 39x12x12 cm","Largeur 60 cm par personne
Hauteur chambre 100 cm
2 portes. 2 absides. 4 poches"
Tente dôme de trekking - 2 places - MT500,3.98,140.0,2.78,"Chambre intérieure
80% Polyester, 20% Polyuréthane thermoplastique
Tissu principal
80% Polyester, 20% Polyuréthane thermoplastique
Arceau
100% Aluminium","Poids total 2,95 kg
Housse de compression 9 litres
Dimensions 39 x 16 x 15 cm","Largeur 60 cm par personne.
Hauteur chambre 108 cm.
2 portes 2 absides 2 poches."
CHARIOT DE TRANSPORT PLIANT POUR MATÉRIEL DE CAMPING - TROLLEY,4.44,99.0,8.5,"Cadre
100% Acier
Tissu principal
100% Polyester
Roues de rollers
80% Polyéthylène, 20% Caoutchouc synthétique
Poignée
100% Acrylonitrile butadiène styrène",,
Housse de compression de trekking imperméable - 20 Litres,4.58,12.0,0.107,"Tissu principal
100% Polyester
Sangle
100% Polypropylène
Enduction
100% Polyuréthane",,
Tente de camping - MH100 XL - 3 places - Fresh & Black,4.45,110.0,5.75,"Tissu principal
100% Polyester
Chambre intérieure
100% Polyester
Tapis de sol
100% Polyéthylène
Arceau
100% Fibre de verre","Dimension de la housse : 59 cm x 20 cm x 20 cm / 24L. Poids : 5,8 kg.",Chambre 195 X 210 cm. Hauteur max. utile : 115 cm. 1 zone de rangement.
Tente de camping - MH100 - 3 places,4.4,50.0,4.6,"Tissu principal
75% Polyester, 25% Polyéthylène
Arceau
100% Fibre de verre","Dimensions de la housse : 59cm x 17cm x 17cm / 17 L. Poids : 3,4 kg",Chambre 195 X 210 cm. (3 couchages de 65cm) Hauteur max. utile : 120 cm.
Tente à arceaux de camping - Arpenaz 4 - 4 Personnes - 1 Chambre,3.89,110.0,6.95,"Double toit
100% Polyester
Tissu intérieur
100% Polyester
Arceau
100% Fibre de verre","Dimensions de la housse : 59 cm x 24 cm x 24 cm / 34 L. Poids : 6,95 kg","Chambre : 240 x 210 cm | Séjour assis : 3,9 m²
Surface : 10,4 m²"
Séjour à arceaux de camping - Arpenaz Base Fresh - 10 Personnes,4.41,220.0,11.6,"Tissu principal
95% Polyester, 5% Polyéthylène
Arceau
90% Aluminium, 10% Fibre de verre
Sac de transport
100% Polyester","Housse rectangulaire | 89 x 22 x 30 cm | 58 litres | 11,6 kg","Hauteur : 2,25 m | 9 m² au sol | Espace pour s'asseoir à 10 personnes à table"
TENTE DE TOIT MH500 FRESH & BLACK 2P,4.25,1450.0,58.5,"Tissu principal
100% Polyester
Structure métallique
100% Aluminium","Dimension de la housse :146 x 123 x 35 cm
Poids : tente 48,5kg + échelle 7 kg","Chambre (l) 140 x (L) 240 x (h) 106 cm
Matelas 140 x 235 x 5 cm densité 26kg/m3"
Tente dôme de trekking - 3 places - MT900,4.43,320.0,2.7,"Chambre intérieure
65% Polyamide, 35% Polyester
Tissu principal
80% Polyester, 20% Polyuréthane thermoplastique
Arceau
100% Aluminium","Poids total 2,7 kg
Housse compacte & compressible 9,2 L
Dimensions 39 x16 x15 cm","largeur 60 cm par personne
Hauteur chambre 119 cm
2 portes. 3 absides. 6 poches"
TENTE DE TOIT GONFLABLE MH900 FRESH & BLACK 2 PERSONNES,4.59,1500.0,56.0,"Structure métallique
100% Aluminium
Tissu principal
100% Polyester
Mousse
100% Polyuréthane","Dimension de la housse : 148 x 77 x 35 cm
Poids : tente 45kg + échelle 7 kg","Chambre (l) 145 x (L) 218 x (h) 101 cm
Matelas 138 x 208 x 5 cm densité 26kg/m3"
CHARIOT DE TRANSPORT DE MATERIEL DE PECHE PF- TROLLEY XL,4.38,195.0,18.0,"Chassis
80% Acier, 20% Aluminium
Tissu principal
100% Polyester
Sangle
50% Polypropylène, 50% Polyamide",Roues avant et manche orientables pour plus facilement diriger le chariot,
